CO2,PM10,PM25,NO,NO2,O3,SO2,AQI
495.0,-14.0,-123.0,2.0,2.0,3.0,2.0,2.0
400.0,15.0,12.7,0.94,42.16,8.58,33.38,1.0
400.0,15.0,12.7,0.94,42.16,8.58,33.38,1.0
400.0,15.0,12.6,0.94,42.16,8.58,33.38,1.0
413.0,15.1,12.7,0.94,42.16,8.58,33.38,1.0
413.0,15.1,12.7,0.94,42.16,8.58,33.38,1.0
407.0,15.1,12.8,0.94,42.16,8.58,33.38,1.0
412.0,15.2,12.9,0.94,42.16,8.58,33.38,1.0
412.0,15.2,12.9,0.94,42.16,8.58,33.38,1.0
413.0,15.3,12.9,0.94,42.16,8.58,33.38,1.0
415.0,15.7,12.3,0.94,42.16,8.58,33.38,1.0
426.0,15.0,11.8,0.94,42.16,8.58,33.38,1.0
426.0,15.0,11.8,0.94,42.16,8.58,33.38,1.0
412.0,13.4,11.4,0.94,42.16,8.58,33.38,1.0
414.0,13.6,11.8,0.94,42.16,8.58,33.38,1.0
414.0,13.6,11.8,0.94,42.16,8.58,33.38,1.0
409.0,13.6,12.1,0.94,42.16,8.58,33.38,1.0
400.0,13.1,11.3,0.94,42.16,8.58,33.38,1.0
444.0,13.6,12.1,0.94,42.16,8.58,33.38,1.0
444.0,13.6,12.1,0.94,42.16,8.58,33.38,1.0
413.0,14.3,12.7,0.94,42.16,8.58,33.38,1.0
400.0,14.2,12.6,0.94,42.16,8.58,33.38,1.0
400.0,14.2,12.6,0.94,42.16,8.58,33.38,1.0
400.0,17.8,14.4,0.94,42.16,8.58,33.38,1.0
400.0,17.8,14.4,0.94,42.16,8.58,33.38,1.0
413.0,26.5,22.2,0.94,42.16,8.58,33.38,1.0
413.0,26.5,22.2,0.94,42.16,8.58,33.38,1.0
413.0,26.1,21.0,0.94,42.16,8.58,33.38,1.0
428.0,24.8,19.6,0.94,42.16,8.58,33.38,1.0
428.0,24.8,19.6,0.94,42.16,8.58,33.38,1.0
415.0,23.0,17.0,0.94,42.16,8.58,33.38,1.0
401.0,24.4,20.0,0.94,42.16,8.58,33.38,1.0
420.0,24.2,20.1,0.94,42.16,8.58,33.38,1.0
420.0,24.2,19.1,0.94,42.16,8.58,33.38,1.0
420.0,24.8,19.1,0.94,42.16,8.58,33.38,1.0
425.0,24.0,18.7,0.94,42.16,8.58,33.38,1.0
425.0,24.0,18.7,0.94,42.16,8.58,33.38,1.0
423.0,24.6,17.6,0.94,42.16,8.58,33.38,1.0
432.0,24.8,18.4,0.94,42.16,8.58,33.38,1.0
428.0,22.6,15.5,1.98,39.76,4.38,33.38,1.0
426.0,22.2,16.1,1.98,39.76,4.38,33.38,1.0
426.0,22.2,16.1,1.98,39.76,4.38,33.38,1.0
427.0,21.9,15.8,1.98,39.76,4.38,33.38,1.0
427.0,21.9,15.8,1.98,39.76,4.38,33.38,1.0
436.0,19.0,14.0,1.98,39.76,4.38,33.38,1.0
436.0,19.0,14.0,1.98,39.76,4.38,33.38,1.0
423.0,20.2,14.5,1.98,39.76,4.38,33.38,1.0
424.0,23.1,14.5,1.98,39.76,4.38,33.38,1.0
435.0,18.4,13.4,1.98,39.76,4.38,33.38,1.0
430.0,18.9,14.1,1.98,39.76,4.38,33.38,1.0
422.0,18.6,12.9,1.98,39.76,4.38,33.38,1.0
451.0,17.5,12.8,1.98,39.76,4.38,33.38,1.0
451.0,17.5,12.8,1.98,39.76,4.38,33.38,1.0
442.0,18.8,12.6,1.98,39.76,4.38,33.38,1.0
442.0,18.8,12.6,1.98,39.76,4.38,33.38,1.0
479.0,15.6,12.3,1.98,39.76,4.38,33.38,1.0
479.0,15.6,12.3,1.98,39.76,4.38,33.38,1.0
439.0,16.6,13.4,1.98,39.76,4.38,33.38,1.0
432.0,18.7,13.5,1.98,39.76,4.38,33.38,1.0
435.0,18.2,13.3,1.98,39.76,4.38,33.38,1.0
435.0,18.2,13.3,1.98,39.76,4.38,33.38,1.0
440.0,18.0,13.0,1.98,39.76,4.38,33.38,1.0
440.0,18.0,13.0,1.98,39.76,4.38,33.38,1.0
433.0,16.9,12.3,1.98,39.76,4.38,33.38,1.0
433.0,16.9,12.3,1.98,39.76,4.38,33.38,1.0
416.0,15.8,12.0,1.98,39.76,4.38,33.38,1.0
425.0,16.8,11.5,1.98,39.76,4.38,33.38,1.0
422.0,16.9,12.4,1.98,39.76,4.38,33.38,1.0
420.0,17.5,12.2,1.98,39.76,4.38,33.38,1.0
420.0,17.5,12.2,1.98,39.76,4.38,33.38,1.0
416.0,16.2,12.2,1.98,39.76,4.38,33.38,1.0
416.0,16.2,12.2,1.98,39.76,4.38,33.38,1.0
421.0,18.1,12.4,1.98,39.76,4.38,33.38,1.0
438.0,18.4,12.3,1.98,39.76,4.38,33.38,1.0
550.0,16.0,11.9,1.98,39.76,4.38,33.38,2.0
473.0,17.1,12.0,1.98,39.76,4.38,33.38,1.0
473.0,17.1,12.0,1.98,39.76,4.38,33.38,1.0
488.0,16.1,11.4,1.98,39.76,4.38,33.38,1.0
488.0,16.1,11.4,1.98,39.76,4.38,33.38,1.0
472.0,18.9,14.8,1.98,39.76,4.38,33.38,1.0
