PM25,PM10,CO2,AQI level
8.8,19.8,583,2
8.8,19.8,583,2
8.8,20.1,587,2
8.8,19,583,2
8.7,18.4,573,2
8.7,18.4,573,2
-1,-1,589,2
8.4,16.4,589,2
8.3,16.7,572,2
8.3,16.7,572,2
7.9,16.1,582,2
8,16.3,590,2
7.5,15,587,2
7.5,15,587,2
-1,-1,598,2
-1,-1,591,2
-1,-1,593,2
7.5,17.5,607,2
7.5,17.5,607,2
7.8,19,601,2
8,19.2,602,2
7.6,15.1,608,2
7.6,15.1,608,2
-1,-1,605,2
7.8,16.7,602,2
-1,-1,629,2
7.5,15.4,610,2
7.5,15.4,610,2
7.1,13.9,606,2
7.6,13.9,613,2
7.9,14.3,604,2
-1,-1,596,2
-1,-1,596,2
7.5,16,599,2
-1,-1,599,2
7.3,14.9,587,2
7.3,14.9,587,2
6.9,12.3,594,2
-1,-1,600,2
-1,-1,604,2
-1,-1,604,2
-1,-1,591,2
7.2,14,594,2
-1,-1,590,2
-1,-1,590,2
-1,-1,594,2
7.4,15.3,588,2
-1,-1,592,2
6.9,-1,593,2
6.9,12.8,593,2
-1,-1,600,2
-1,-1,602,2
-1,-1,602,2
-1,-1,598,2
6.6,13,606,2
6.5,11.3,604,2
6.5,11.3,604,2
-1,-1,598,2
6.6,14.4,585,2
-1,-1,594,2
-1,-1,594,2
6.6,11.3,597,2
6.3,11.9,596,2
-1,-1,595,2
-1,-1,595,2
-1,-1,600,2
-1,-1,583,2
6.6,13.8,587,2
6.6,13.8,587,2
-1,-1,596,2
-1,-1,595,2
6.6,11.7,594,2
6.6,11.7,572,2
-1,-1,572,2
6.3,13.1,575,2
-1,-1,583,2
-1,-1,568,2
-1,-1,568,2
-1,-1,560,2
6.3,12.9,561,2
6.3,12.9,561,2
6.2,11.8,576,2
-1,-1,557,2
5.8,11.5,567,2
5.8,11.5,567,2
-1,-1,575,2
5.5,10.6,565,2
5.9,11.1,555,2
5.9,11.1,555,2
-1,-1,569,2
-1,-1,574,2
-1,-1,568,2
6,12.3,558,2
6,12.3,558,2
-1,-1,557,2
-1,-1,558,2
-1,-1,558,2
6.3,13.7,554,2
-1,-1,537,2
5.9,9.8,529,2
5.9,9.8,529,2
-1,-1,554,2
-1,-1,544,2
-1,-1,557,2
6.3,11.5,549,2
6,12.3,540,2
6,12.3,540,2
-1,-1,546,2
6,10.5,527,2
-1,-1,548,2
-1,-1,548,2
6.1,10.8,552,2
5.8,11.6,551,2
-1,-1,546,2
-1,-1,559,2
-1,-1,559,2
-1,-1,548,2
5.7,10.2,536,2
-1,-1,533,2
-1,-1,539,2
-1,-1,539,2
6.4,15.3,546,2
-1,-1,540,2
5.7,10,546,2
-1,-1,531,2
-1,-1,531,2
-1,-1,530,2
-1,-1,526,2
6.5,12.1,536,2
6.4,11.7,516,2
6.4,11.7,516,2
-1,-1,507,2
-1,-1,516,2
-1,-1,535,2
6.3,11.7,535,2
-1,-1,537,2
6.4,11.4,521,2
6.4,11.4,521,2
6.3,11.5,529,2
-1,-1,543,2
6.3,11.9,536,2
6.3,11.9,536,2
-1,-1,510,2
6.9,12.3,514,2
6.9,12.3,514,2
-1,-1,525,2
6.4,11,515,2
6.5,12,516,2
-1,-1,488,2
-1,-1,488,2
6.1,11.6,494,2
-1,-1,475,1
-1,-1,479,1
6.4,12.6,479,1
-1,12.6,480,1
-1,-1,470,1
-1,-1,470,1
-1,-1,462,1
-1,-1,466,1
6.7,12.8,469,1
6.7,12.8,469,1
-1,-1,482,1
7.5,12.6,460,1
-1,-1,479,1
-1,-1,464,1
-1,-1,464,1
-1,-1,493,2
-1,-1,488,2
-1,-1,488,2
-1,-1,483,1
7.6,14.4,466,1
-1,-1,473,1
-1,-1,473,1
8,16,481,1
-1,-1,491,2
-1,-1,491,2
-1,-1,468,1
-1,-1,468,1
-1,-1,479,1
-1,-1,473,1
7.4,13.9,476,1
9.3,13.6,400,1
9.3,13.6,400,1
9.5,18,405,1
9.5,18,421,1
-1,-1,411,1
-1,-1,411,1
10.4,20,400,1
9.7,16.7,401,1
8.8,13.7,414,1
8.8,13.7,414,1
8.4,14.1,416,1
7.9,12.5,413,1
7.9,12.5,413,1
-1,-1,414,1
-1,-1,403,1
-1,-1,405,1
-1,-1,405,1
10.1,15,409,1
10.2,15.4,403,1
10.2,15.4,403,1
10.6,16.1,400,1
10.6,16.5,407,1
-1,16.5,410,1
-1,-1,410,1
10.5,16.9,409,1
-1,-1,413,1
-1,-1,413,1
10.9,18.8,422,1
10.5,16.7,403,1
9.9,16.4,418,1
9.9,16.4,418,1
9.3,14.2,431,1
-1,-1,432,1
-1,-1,432,1
9.2,14.7,427,1
-1,-1,426,1
9,13.8,424,1
9,13.8,424,1
8.6,15.3,422,1
-1,-1,430,1
-1,-1,430,1
-1,-1,423,1
-1,-1,438,1
-1,-1,438,1
8.5,15.6,417,1
-1,-1,429,1
-1,-1,443,1
-1,-1,443,1
8.6,13.8,443,1
-1,-1,422,1
8.2,11.8,429,1
8.2,11.8,429,1
-1,-1,432,1
-1,-1,441,1
-1,-1,435,1
-1,-1,435,1
8.4,13.2,434,1
9.2,14.8,431,1
9.2,14.8,431,1
-1,-1,442,1
9.8,16.5,429,1
-1,-1,414,1
-1,-1,414,1
-1,-1,428,1
9.7,14.9,427,1
9.7,14.9,427,1
-1,-1,432,1
-1,-1,430,1
-1,-1,422,1
-1,-1,422,1
10.1,16.9,418,1
10.2,16.2,419,1
-1,-1,440,1
-1,-1,440,1
-1,-1,430,1
-1,-1,440,1
-1,-1,440,1
9.7,14.8,443,1
-1,-1,435,1
-1,-1,423,1
-1,-1,423,1
-1,-1,437,1
9.3,14.7,435,1
9.3,14.7,435,1
9.9,15.1,436,1
-1,-1,432,1
-1,-1,443,1
-1,-1,443,1
-1,-1,434,1
9.3,15.3,449,1
-1,-1,437,1
-1,-1,437,1
-1,-1,442,1
-1,-1,438,1
-1,-1,438,1
-1,-1,427,1
-1,-1,450,1
9,14.6,445,1
9,14.6,445,1
-1,-1,458,1
8.8,12.6,443,1
-1,-1,466,1
-1,-1,466,1
8.9,13.6,444,1
-1,-1,456,1
-1,-1,460,1
-1,-1,460,1
9.1,14.8,458,1
-1,-1,459,1
-1,-1,459,1
-1,-1,461,1
9.3,14.2,451,1
-1,-1,443,1
-1,-1,443,1
-1,-1,439,1
-1,-1,449,1
-1,-1,449,1
-1,-1,464,1
9.4,15.4,451,1
-1,-1,465,1
-1,-1,465,1
-1,-1,447,1
-1,-1,451,1
-1,-1,477,1
-1,-1,477,1
-1,-1,471,1
9.1,13.6,467,1
-1,-1,474,1
-1,-1,474,1
-1,-1,478,1
